package,className,lineCount,citedCount
j2dbench,Destinations,346,4
j2dbench,Group,258,23
j2dbench,J2DBench,664,0
j2dbench,Modifier,15,4
j2dbench,Node,55,3
j2dbench,Option,696,15
j2dbench,Result,372,18
j2dbench,ResultSet,101,0
j2dbench,Test,200,7
j2dbench,TestEnvironment,224,21
j2dbench.report,HTMLSeriesReporter,377,0
j2dbench.report,IIOComparator,268,0
j2dbench.report,J2DAnalyzer,715,0
j2dbench.report,XMLHTMLReporter,1056,0
j2dbench.tests,GraphicsTests,420,3
j2dbench.tests,ImageTests,857,2
j2dbench.tests,MiscTests,47,1
j2dbench.tests,PixelTests,283,1
j2dbench.tests,RenderTests,801,1
j2dbench.tests.cmm,CMMTests,80,1
j2dbench.tests.cmm,ColorConversionTests,13,0
j2dbench.tests.cmm,ColorConvertOpTests,273,0
j2dbench.tests.cmm,DataConversionTests,118,0
j2dbench.tests.cmm,EmbeddedProfileTests,89,0
j2dbench.tests.cmm,ProfileTests,64,0
j2dbench.tests.iio,IIOTests,121,2
j2dbench.tests.iio,InputImageTests,387,0
j2dbench.tests.iio,InputStreamTests,601,0
j2dbench.tests.iio,InputTests,181,0
j2dbench.tests.iio,OutputImageTests,241,0
j2dbench.tests.iio,OutputStreamTests,402,0
j2dbench.tests.iio,OutputTests,144,0
j2dbench.tests.text,TextConstructionTests,294,1
j2dbench.tests.text,TextMeasureTests,505,1
j2dbench.tests.text,TextRenderTests,111,1
j2dbench.tests.text,TextTests,518,1
j2dbench.ui,CompactLayout,75,1
j2dbench.ui,EnableButton,38,1
,CodePointIM,13,0
com.sun.inputmethods.internal.codepointim,CodePointInputMethod,347,0
com.sun.inputmethods.internal.codepointim,CodePointInputMethodDescriptor,22,0
,ExampleFileSystemView,22,0
,ExampleFileView,55,0
,FileChooserDemo,610,0
,Font2DTest,902,0
,FontPanel,945,0
,RangeMenu,157,0
java2d,AnimatingContext,4,0
java2d,AnimatingControlsSurface,33,11
java2d,AnimatingSurface,51,9
java2d,CloningFeature,122,0
java2d,ControlsSurface,32,7
java2d,CustomControls,64,18
java2d,CustomControlsContext,8,0
java2d,DemoFonts,30,0
java2d,DemoGroup,272,0
java2d,DemoImages,44,0
java2d,DemoInstVarsAccessor,15,0
java2d,DemoInstVarsAccessorImplBase,54,0
java2d,DemoPanel,67,1
java2d,GlobalControls,85,0
java2d,GlobalPanel,46,0
java2d,Intro,1435,0
java2d,J2Ddemo,531,0
java2d,MemoryMonitor,255,0
java2d,PerformanceMonitor,122,0
java2d,RunWindow,319,0
java2d,Surface,353,14
java2d,TextureChooser,149,0
java2d,Tools,365,0
java2d.demos.Arcs_Curves,Arcs,107,0
java2d.demos.Arcs_Curves,BezierAnim,243,0
java2d.demos.Arcs_Curves,Curves,80,0
java2d.demos.Arcs_Curves,Ellipses,57,0
java2d.demos.Clipping,Areas,141,0
java2d.demos.Clipping,ClipAnim,223,0
java2d.demos.Clipping,Intersection,164,0
java2d.demos.Clipping,Text,155,0
java2d.demos.Colors,BullsEye,26,0
java2d.demos.Colors,ColorConvert,55,0
java2d.demos.Colors,Rotator3D,295,0
java2d.demos.Composite,ACimages,56,0
java2d.demos.Composite,ACrules,175,0
java2d.demos.Composite,FadeAnim,360,0
java2d.demos.Fonts,AllFonts,100,0
java2d.demos.Fonts,AttributedStr,99,0
java2d.demos.Fonts,Highlighting,67,0
java2d.demos.Fonts,Outline,52,0
java2d.demos.Fonts,Tree,71,0
java2d.demos.Images,DukeAnim,45,0
java2d.demos.Images,ImageOps,196,0
java2d.demos.Images,JPEGFlip,91,0
java2d.demos.Images,WarpImage,81,0
java2d.demos.Lines,Caps,24,0
java2d.demos.Lines,Dash,70,0
java2d.demos.Lines,Joins,156,0
java2d.demos.Lines,LineAnim,97,0
java2d.demos.Mix,Balls,260,0
java2d.demos.Mix,BezierScroller,286,0
java2d.demos.Mix,Stars3D,230,0
java2d.demos.Paint,GradAnim,227,0
java2d.demos.Paint,Gradient,129,0
java2d.demos.Paint,Texture,101,0
java2d.demos.Paint,TextureAnim,343,0
java2d.demos.Paths,Append,31,0
java2d.demos.Paths,CurveQuadTo,22,0
java2d.demos.Paths,FillStroke,23,0
java2d.demos.Paths,WindingRule,35,0
java2d.demos.Transforms,Rotate,99,0
java2d.demos.Transforms,SelectTx,233,0
java2d.demos.Transforms,TransformAnim,375,0
,AquaMetalTheme,21,0
,BigContrastMetalTheme,64,0
,ContrastMetalTheme,89,0
,DemoMetalTheme,52,0
,GreenMetalTheme,21,0
,KhakiMetalTheme,39,0
,MetalThemeMenu,31,0
,Metalworks,19,0
,MetalworksDocumentFrame,101,0
,MetalworksFrame,222,0
,MetalworksHelp,9,0
,HtmlPane,57,0
,MetalworksInBox,46,0
,MetalworksPrefs,116,0
,ColumnLayout,39,0
,PropertiesMetalTheme,121,0
,UISwitchListener,15,0
,ElementTreePanel,325,0
,Notepad,576,0
,DynamicTreeNode,82,0
,SampleData,32,0
,SampleTree,328,0
,SampleTreeCellRenderer,82,0
,SampleTreeModel,14,0
,HelloWorld,124,0
,Stylepad,254,0
,Wonderland,217,0
,AquaTheme,9,0
,BezierAnimationPanel,246,0
,ButtonDemo,396,0
,CharcoalTheme,19,0
,ColorChooserDemo,111,0
,ComboBoxDemo,282,0
,ContrastTheme,37,0
,DemoModule,136,0
,DirectionPanel,92,0
,EmeraldTheme,9,0
,FilePreviewer,44,0
,HtmlDemo,55,0
,InternalFrameDemo,192,0
,LayoutControlPanel,222,0
,ListDemo,261,0
,OptionPaneDemo,141,0
,Permuter,39,0
,ProgressBarDemo,101,0
,RubyTheme,9,0
,ScrollPaneDemo,38,0
,SliderDemo,178,0
,SplitPaneDemo,171,0
,SwingSet2,876,0
,TabbedPaneDemo,131,0
,TableDemo,557,0
,TextAndMnemonicUtils,73,0
,ToolTipDemo,75,0
,TreeDemo,62,0
,JDBCAdapter,164,0
,OldJTable,111,0
,TableExample,156,0
,TableExample2,42,0
,TableExample3,86,0
,TableExample4,124,0
,TableMap,38,0
,TableSorter,203,0
transparentruler,Ruler,154,0
,jvmtiEnvFill,17,0
,SourceFile,157,0
,jvmtiGen,88,0
sun.nio.ch,AixAsynchronousChannelProvider,50,0
sun.nio.ch,AixPollPort,281,0
sun.nio.ch,DefaultAsynchronousChannelProvider,6,0
sun.nio.ch,DefaultPollerProvider,11,0
sun.nio.ch,DefaultSelectorProvider,11,1
sun.nio.ch,FileDispatcherImpl,160,0
sun.nio.ch,Pollset,50,2
sun.nio.ch,PollsetPoller,57,0
sun.nio.fs,AixFileStore,52,0
sun.nio.fs,AixFileSystem,43,0
sun.nio.fs,AixFileSystemProvider,13,0
sun.nio.fs,AixNativeDispatcher,9,0
sun.nio.fs,DefaultFileSystemProvider,11,5
jdk.internal.platform,CgroupInfo,49,2
jdk.internal.platform,CgroupMetrics,134,0
jdk.internal.platform,CgroupSubsystem,10,4
jdk.internal.platform,CgroupSubsystemController,103,4
jdk.internal.platform,CgroupSubsystemFactory,220,0
jdk.internal.platform,CgroupUtil,49,1
jdk.internal.platform,CgroupV1Metrics,13,1
jdk.internal.platform,CgroupV1MetricsImpl,51,0
jdk.internal.platform,SystemMetrics,5,0
jdk.internal.platform.cgroupv1,CgroupV1MemorySubSystemController,19,0
jdk.internal.platform.cgroupv1,CgroupV1Subsystem,288,1
jdk.internal.platform.cgroupv1,CgroupV1SubsystemController,76,0
jdk.internal.platform.cgroupv2,CgroupV2Subsystem,267,1
jdk.internal.platform.cgroupv2,CgroupV2SubsystemController,21,0
sun.nio.ch,EPoll,38,0
sun.nio.ch,EPollPoller,41,0
sun.nio.ch,EPollPort,187,0
sun.nio.ch,EPollSelectorImpl,167,0
sun.nio.ch,EPollSelectorProvider,10,0
sun.nio.ch,EventFD,23,0
sun.nio.ch,LinuxAsynchronousChannelProvider,50,0
sun.nio.fs,LinuxDosFileAttributeView,200,0
